emotion_id,count,created_at,updated_at,tv_show_name,tv_show_id,user_id
8,32,2019-04-06 19:45:49,2020-01-07 19:02:37,Pokémon,76703,5449324
1,1,2019-04-29 03:46:21,2019-04-30 23:57:58,"Sabrina, The Teenage Witch",76876,5449324
3,1,2019-04-29 03:44:39,2019-04-29 03:47:24,"Sabrina, The Teenage Witch",76876,5449324
1,2,2016-10-23 03:15:18,2016-10-23 03:15:23,Dexter,79349,5449324
3,1,2016-10-28 04:32:14,2016-10-28 04:32:14,Dexter,79349,5449324
1,4,2020-03-29 21:32:37,2020-03-29 21:40:43,Skins,79773,5449324
3,1,2020-03-29 21:25:32,2020-03-29 21:25:32,Skins,79773,5449324
6,4,2020-03-29 21:35:39,2020-04-02 21:07:02,Skins,79773,5449324
7,2,2020-04-02 20:59:31,2020-04-02 21:07:17,Skins,79773,5449324
8,3,2020-03-29 21:25:57,2020-04-02 21:00:42,Skins,79773,5449324
3,1,2018-12-26 22:13:28,2018-12-26 22:13:28,"Go, Diego, Go!",79896,5449324
2,1,2017-05-15 18:09:19,2017-05-15 18:09:19,Happy Tree Friends,80534,5449324
3,2,2017-05-15 19:47:20,2017-05-15 20:50:57,Happy Tree Friends,80534,5449324
7,1,2017-05-15 20:48:22,2017-05-15 20:48:22,Happy Tree Friends,80534,5449324
1,8,2016-10-01 18:31:51,2016-10-03 17:54:00,Le cœur a ses raisons,80741,5449324
2,17,2016-10-01 18:31:39,2016-10-03 16:27:47,Le cœur a ses raisons,80741,5449324
3,14,2016-10-01 18:33:01,2016-10-03 17:54:00,Le cœur a ses raisons,80741,5449324
2,1,2017-02-13 20:06:04,2017-02-13 20:06:04,"Don't Do This, Don't Do That",80977,5449324
3,6,2017-02-13 20:06:04,2020-12-19 19:15:58,"Don't Do This, Don't Do That",80977,5449324
1,17,2017-02-11 21:07:28,2017-02-13 17:03:39,Oggy and the Cockroaches,82956,5449324
2,27,2017-02-11 20:40:53,2017-02-13 17:03:47,Oggy and the Cockroaches,82956,5449324
3,29,2017-02-11 20:39:59,2017-02-13 17:03:35,Oggy and the Cockroaches,82956,5449324
4,0,2017-02-13 17:03:57,2017-02-13 17:03:58,Oggy and the Cockroaches,82956,5449324
6,1,2017-02-13 17:03:58,2017-02-13 17:03:58,Oggy and the Cockroaches,82956,5449324
1,24,2019-07-05 23:02:58,2019-08-29 10:11:54,Glee,83610,5449324
3,20,2019-07-11 15:59:48,2019-08-31 13:07:58,Glee,83610,5449324
8,10,2019-07-16 00:01:03,2019-08-28 16:24:39,Glee,83610,5449324
3,1,2016-11-28 17:27:55,2016-11-28 17:27:55,Modern Family,95011,5449324
1,4,2017-04-17 18:15:52,2017-04-28 22:28:21,Titeuf,100991,5449324
2,23,2017-04-17 17:59:35,2017-04-29 02:10:49,Titeuf,100991,5449324
3,24,2017-04-17 19:19:20,2017-04-29 00:58:56,Titeuf,100991,5449324
4,1,2017-04-17 19:35:12,2017-04-17 19:35:12,Titeuf,100991,5449324
6,3,2017-04-17 19:58:00,2017-04-18 10:50:32,Titeuf,100991,5449324
1,2,2017-08-10 14:10:03,2019-03-15 21:43:56,Game of Thrones,121361,5449324
3,4,2017-08-10 04:00:46,2019-03-15 21:43:56,Game of Thrones,121361,5449324
8,2,2019-03-15 20:05:52,2019-03-26 19:37:09,Game of Thrones,121361,5449324
7,1,2016-08-19 14:22:48,2016-08-19 14:22:48,Misfits,124051,5449324
1,1,2018-01-27 15:49:52,2018-01-27 15:49:52,Pretty Little Liars,146711,5449324
3,1,2017-02-05 22:23:01,2018-01-27 15:49:52,Pretty Little Liars,146711,5449324
1,22,2016-08-25 21:01:13,2016-08-25 21:13:16,Genie in the House,160661,5449324
2,20,2016-08-25 21:01:46,2016-08-25 21:13:24,Genie in the House,160661,5449324
3,28,2016-08-25 21:01:14,2016-08-25 21:13:05,Genie in the House,160661,5449324
6,7,2016-08-25 21:05:52,2016-08-25 21:12:22,Genie in the House,160661,5449324
7,1,2016-08-25 21:06:48,2016-08-25 21:06:48,Genie in the House,160661,5449324
1,3,2016-08-19 14:22:48,2016-08-19 14:22:48,Ratz,225071,5449324
2,9,2016-08-19 14:22:48,2016-08-19 14:22:48,Ratz,225071,5449324
3,12,2016-08-19 14:22:48,2016-08-19 14:22:48,Ratz,225071,5449324
1,9,2016-08-19 14:22:48,2019-06-14 20:52:43,Clem,243011,5449324
2,0,2017-02-05 23:46:24,2017-02-05 23:46:25,Clem,243011,5449324
3,14,2016-08-19 14:22:48,2018-03-27 17:20:46,Clem,243011,5449324
6,4,2019-05-13 21:09:10,2019-06-14 19:38:50,Clem,243011,5449324
7,0,2019-05-13 21:09:06,2019-06-14 19:38:50,Clem,243011,5449324
8,7,2019-06-14 19:33:12,2019-06-14 20:51:28,Clem,243011,5449324
1,7,2016-08-19 14:22:48,2016-08-19 14:22:48,Watch My Chops,247952,5449324
2,11,2016-08-19 14:22:48,2016-08-19 14:22:48,Watch My Chops,247952,5449324
3,21,2016-08-19 14:22:48,2016-08-19 14:22:48,Watch My Chops,247952,5449324
6,3,2016-08-19 14:22:48,2016-08-19 14:22:48,Watch My Chops,247952,5449324
1,11,2016-10-29 20:17:46,2016-11-19 13:32:12,New Girl,248682,5449324
2,14,2016-10-29 20:17:53,2016-11-19 13:31:54,New Girl,248682,5449324
3,8,2016-10-29 20:17:29,2016-11-19 13:32:19,New Girl,248682,5449324
4,0,2016-11-05 13:15:14,2016-11-05 13:15:15,New Girl,248682,5449324
6,1,2016-10-29 22:17:08,2016-10-29 22:17:08,New Girl,248682,5449324
1,6,2016-08-19 14:22:48,2016-08-19 14:22:48,Don't Trust the B---- in Apartment 23,248812,5449324
2,13,2016-08-19 14:22:48,2016-08-19 14:22:48,Don't Trust the B---- in Apartment 23,248812,5449324
3,5,2016-08-19 14:22:48,2016-08-19 14:22:48,Don't Trust the B---- in Apartment 23,248812,5449324
6,2,2016-08-19 14:22:48,2016-08-19 14:22:48,Don't Trust the B---- in Apartment 23,248812,5449324
3,2,2017-04-28 01:38:37,2017-04-28 23:24:07,Once Upon a Time (2011),248835,5449324
4,1,2017-04-28 23:24:07,2017-04-28 23:24:07,Once Upon a Time (2011),248835,5449324
1,3,2016-11-01 02:29:22,2016-11-01 21:19:17,Touch (2012),248935,5449324
2,1,2016-11-01 00:24:52,2016-11-02 06:34:50,Touch (2012),248935,5449324
3,9,2016-10-31 04:27:55,2016-11-02 06:34:49,Touch (2012),248935,5449324
6,1,2016-11-02 06:34:50,2016-11-02 06:34:50,Touch (2012),248935,5449324
1,4,2017-01-08 14:06:50,2017-01-09 22:52:18,My Babysitter's a Vampire,248972,5449324
2,4,2017-01-02 00:50:16,2017-01-13 18:31:53,My Babysitter's a Vampire,248972,5449324
3,14,2017-01-02 00:50:10,2017-01-13 21:09:16,My Babysitter's a Vampire,248972,5449324
6,2,2017-01-08 12:47:39,2017-01-08 14:06:39,My Babysitter's a Vampire,248972,5449324
7,2,2017-01-08 12:47:49,2017-01-13 19:13:57,My Babysitter's a Vampire,248972,5449324
1,1,2017-09-02 11:27:01,2017-09-02 11:27:01,Secret Story,249896,5449324
3,0,2017-09-02 11:27:00,2017-09-02 11:27:01,Secret Story,249896,5449324
1,6,2016-11-05 02:52:37,2021-10-15 08:10:52,American Horror Story,250487,5449324
3,33,2016-09-23 10:36:04,2021-10-10 11:06:58,American Horror Story,250487,5449324
6,10,2016-09-15 10:11:05,2021-10-10 11:06:50,American Horror Story,250487,5449324
7,1,2016-08-19 14:22:48,2016-09-15 10:11:05,American Horror Story,250487,5449324
8,2,2020-05-03 03:33:24,2021-10-10 11:26:32,American Horror Story,250487,5449324
1,2,2018-12-30 22:48:38,2023-06-18 12:43:04,Black Mirror,253463,5449324
3,8,2016-08-19 14:22:48,2025-04-23 20:04:52,Black Mirror,253463,5449324
6,2,2016-10-21 18:18:16,2025-04-23 20:04:48,Black Mirror,253463,5449324
7,5,2016-10-21 14:31:39,2019-06-13 11:00:47,Black Mirror,253463,5449324
8,4,2018-12-30 22:48:39,2025-04-23 20:04:48,Black Mirror,253463,5449324
3,7,2017-05-01 12:24:02,2017-06-19 15:17:50,American Gods,253573,5449324
1,1,2022-06-23 20:25:02,2022-06-23 20:25:02,Rita,256006,5449324
3,2,2018-01-22 00:30:07,2022-06-23 20:25:06,Rita,256006,5449324
1,0,2018-07-24 03:56:44,2018-07-24 03:56:45,Shuriken School,257599,5449324
2,4,2018-07-19 04:26:17,2018-07-24 03:52:33,Shuriken School,257599,5449324
3,2,2018-07-19 05:13:47,2018-07-24 03:56:45,Shuriken School,257599,5449324
1,3,2016-08-19 14:22:48,2017-07-04 07:02:54,Orphan Black,260315,5449324
3,15,2016-08-19 14:22:48,2017-08-06 20:41:29,Orphan Black,260315,5449324
6,1,2017-08-13 14:16:48,2017-08-13 14:16:48,Orphan Black,260315,5449324
1,1,2016-08-19 14:22:48,2016-08-19 14:22:48,The Vault,261401,5449324
3,14,2016-08-19 14:22:48,2016-08-19 14:22:48,The Vault,261401,5449324
7,1,2016-08-19 14:22:48,2016-08-19 14:22:48,The Vault,261401,5449324
1,11,2017-01-11 20:37:38,2017-04-18 21:53:46,Bates Motel,262414,5449324
2,0,2017-03-09 19:42:21,2017-04-17 11:36:51,Bates Motel,262414,5449324
3,26,2017-01-11 20:37:33,2017-04-25 18:03:33,Bates Motel,262414,5449324
1,16,2016-08-19 14:22:48,2017-01-13 12:34:46,Under the Dome,264492,5449324
2,1,2016-08-19 14:22:48,2016-08-19 14:22:48,Under the Dome,264492,5449324
3,2,2016-08-19 14:22:48,2017-01-13 12:34:46,Under the Dome,264492,5449324
1,6,2016-08-19 14:22:48,2019-07-26 08:55:49,Orange Is the New Black,264586,5449324
2,1,2017-06-09 23:24:47,2018-07-27 08:32:58,Orange Is the New Black,264586,5449324
3,60,2016-08-19 14:22:48,2019-07-28 04:56:00,Orange Is the New Black,264586,5449324
1,2,2017-04-19 01:59:13,2017-04-19 09:16:29,Code Lyoko: Evolution,265109,5449324
6,3,2022-07-01 06:15:11,2022-07-01 06:15:55,Code Lyoko: Evolution,265109,5449324
7,3,2022-07-01 06:15:10,2022-07-01 08:17:20,Code Lyoko: Evolution,265109,5449324
8,2,2022-07-01 06:15:14,2022-07-01 06:15:40,Code Lyoko: Evolution,265109,5449324
1,5,2016-08-31 11:05:22,2016-08-31 11:06:40,My Mad Fat Diary,265110,5449324
2,3,2016-08-31 11:05:26,2016-08-31 11:06:14,My Mad Fat Diary,265110,5449324
3,7,2016-08-31 11:05:43,2016-08-31 11:06:35,My Mad Fat Diary,265110,5449324
6,1,2016-08-31 11:05:29,2016-08-31 11:05:29,My Mad Fat Diary,265110,5449324
1,2,2019-12-30 11:31:25,2019-12-30 11:36:10,EastSiders,265359,5449324
6,0,2019-12-30 11:33:44,2019-12-30 11:33:51,EastSiders,265359,5449324
8,2,2019-12-30 11:28:19,2019-12-30 11:43:24,EastSiders,265359,5449324
1,2,2016-08-19 14:22:48,2016-08-19 14:22:48,Penny Dreadful,265766,5449324
