tv_show_name,user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
Explained,5449324,347903,1,0,20
Insatiable,5449324,348117,1,1,22
PEN15,5449324,348127,1,0,8
Nobody’s Looking,5449324,348275,0,0,0
Super Drags,5449324,348357,1,0,2
World Cup 2018,5449324,348431,0,0,1
Years and Years,5449324,348598,0,0,0
First Love: The Monster Between Us,5449324,348744,1,0,10
Cooking on High,5449324,348774,1,0,12
The Good Cop (2018),5449324,348800,0,0,0
Future Sex (2018),5449324,348815,1,0,5
Kaos,5449324,348823,1,0,0
Paradise PD,5449324,348922,1,0,10
Legacies,5449324,349309,0,0,2
Bodyguard (2018),5449324,349310,1,0,1
Charmed (2018),5449324,349317,1,0,3
Calls (US),5449324,349334,1,0,0
Black Monday,5449324,349338,0,0,0
On Becoming a God in Central Florida,5449324,349638,0,0,0
Hilda,5449324,349643,1,0,13
The Purge,5449324,349661,1,0,4
Valeria,5449324,349716,0,0,0
Sugar Rush (2018),5449324,349909,0,0,0
Peepoodo,5449324,350191,1,0,26
Cupcake & Dino - General Services,5449324,350225,1,0,52
Dark Tourist,5449324,350264,0,0,0
,5449324,350392,0,0,4
The Chosen One,5449324,350549,0,0,0
Homecoming (2018),5449324,350553,0,0,0
Black Summer,5449324,350587,0,0,0
Sly Cooper,5449324,350598,1,0,0
1983,5449324,350796,0,0,0
Maniac (2018),5449324,350864,1,0,10
The Kominsky Method,5449324,350869,0,0,0
Nailed It! Holiday!,5449324,350879,1,0,13
Magic for Humans,5449324,350907,1,0,7
Tell Me a Story (US),5449324,351134,1,0,1
Arthur and the Minimoys,5449324,351142,0,0,0
Dirty John,5449324,351254,1,0,9
Benvinguts a la família,5449324,351330,0,0,0
Good Trouble,5449324,351504,1,0,1
Truth Be Told,5449324,351527,0,0,0
Can You Hear Me?,5449324,351748,0,0,0
The Curious Creations of Christine McConnell,5449324,351770,0,0,0
Wanderlust (2018),5449324,351851,0,0,0
Harry Potter ,5449324,351875,0,0,0
Baby,5449324,351911,1,0,12
HP,5449324,351956,1,0,10
The Name of the Rose,5449324,351959,0,0,0
The Final Table,5449324,351971,0,0,0
Mom or Dad,5449324,352132,1,0,6
Perfume (2018),5449324,352150,1,0,6
Mr. Iglesias,5449324,352207,0,0,0
WHAT / IF,5449324,352290,0,0,0
A Teacher,5449324,352440,1,0,10
Hercules,5449324,352551,0,0,0
Groom,5449324,352572,1,0,20
Mike,5449324,352777,1,0,12
Interns,5449324,352781,1,0,15
