monthly_score,tv_show_name,user_id,tv_show_id,last_action_timestamp,daily_score,weekly_score
100,Sweetbitter,5449324,339512,1563676699,100,100
35,Polyvalente,5449324,339774,1524093856,35,35
100,Disenchantment,5449324,340234,1655744994,100,100
100,Nude,5449324,340793,1539635384,100,100
100,I Love You 2,5449324,340944,1546390781,100,100
100,Killing Eve,5449324,340959,1657550385,100,100
100,Fifty Shades of Greeks,5449324,340973,1555369676,100,100
100,Heathers,5449324,341235,1540862146,100,100
100,Everything Sucks!,5449324,341282,1518817038,100,100
100,Safe (2018),5449324,341291,1576714537,100,100
100,Welcome to the Family (2018),5449324,341423,1533049175,100,100
100,The Rain,5449324,341704,1558132200,100,100
100,Skam France,5449324,341902,1688812837,100,100
100,Miracle Workers,5449324,342818,1656279657,100,100
100,The Boss Baby: Back in Business,5449324,342858,1541126637,100,100
100,Special,5449324,342976,1623191476,100,100
35,Lost in Space (2018),5449324,343253,1524065672,35,35
100,Nailed It!,5449324,343290,1562549967,100,100
100,Sacred Games,5449324,343435,1531863401,100,100
35,Derren Brown: The Push,5449324,343656,1523087149,35,35
70,Skam Germany,5449324,344566,1540408256,70,70
100,My Brilliant Friend,5449324,344626,1546564520,100,100
100,Bonding,5449324,344643,1654206413,100,100
100,Lovleg,5449324,345242,1540507498,100,100
100,The Haunting,5449324,345246,1613297397,100,100
100,Vingt-cinq,5449324,345379,1552131605,100,100
100,,5449324,345479,1529485034,100,100
100,Vermin,5449324,345948,1524093450,100,100
100,Pose,5449324,346026,1642037336,100,100
100,Pêche Aubergine,5449324,346174,1535315540,100,100
100,Elite,5449324,346328,1576992539,100,100
100,November 13: Attack on Paris,5449324,346357,1655426495,100,100
70,SKAM Austin,5449324,346371,1540050813,70,70
100,Skam Spain,5449324,346465,1560578780,100,100
100,Sharp Objects,5449324,346602,1539421838,100,100
35,The Show (2018),5449324,346683,1526214585,35,35
100,Aggretsuko,5449324,346744,1561408658,100,100
100,Into the Dark,5449324,347115,1556753494,100,100
35,Back Street Girls -GOKUDOLLS-,5449324,347160,1611143994,35,35
100,The House of Flowers,5449324,347325,1572308038,100,100
70,3Below: Tales of Arcadia,5449324,347512,1545776280,70,70
100,Marion Seclin,5449324,347544,1532040931,100,100
100,Jinn,5449324,347710,1562364206,100,100
100,The Hollow (2018),5449324,347726,1528585615,100,100
100,Explained,5449324,347903,1554924374,100,100
100,Insatiable,5449324,348117,1572267256,100,100
100,PEN15,5449324,348127,1604753650,100,100
70,Super Drags,5449324,348357,1561239268,70,70
100,World Cup 2018,5449324,348431,1531876775,100,100
100,First Love: The Monster Between Us,5449324,348744,1654133127,100,100
100,Cooking on High,5449324,348774,1530471629,100,100
100,Paradise PD,5449324,348922,1536183106,100,100
100,Legacies,5449324,349309,1540737703,100,100
35,Bodyguard (2018),5449324,349310,1542807523,35,35
100,Charmed (2018),5449324,349317,1540954337,100,100
100,Hilda,5449324,349643,1563371991,100,100
100,The Purge,5449324,349661,1551134675,100,100
100,Peepoodo,5449324,350191,1618745244,100,100
100,Cupcake & Dino - General Services,5449324,350225,1565126096,100,100
100,,5449324,350392,1532780696,100,100
100,Maniac (2018),5449324,350864,1538331656,100,100
100,Nailed It! Holiday!,5449324,350879,1575106259,100,100
100,Magic for Humans,5449324,350907,1576937536,100,100
80,Tell Me a Story (US),5449324,351134,1541129118,80,80
100,Dirty John,5449324,351254,1603820285,100,100
35,Good Trouble,5449324,351504,1547493500,35,35
100,Harry Potter ,5449324,351875,1563558927,100,100
100,Baby,5449324,351911,1572400009,100,100
100,HP,5449324,351956,1552345339,100,100
100,Mom or Dad,5449324,352132,1545349754,100,100
100,Perfume (2018),5449324,352150,1545774857,100,100
100,A Teacher,5449324,352440,1621212349,100,100
100,Groom,5449324,352572,1585958752,100,100
100,Mike,5449324,352777,1551028134,100,100
100,Interns,5449324,352781,1624562761,100,100
100,Larva Island,5449324,353351,1542548848,100,100
100,High Seas,5449324,353568,1561592573,100,100
80,Deadly Class,5449324,353717,1546394253,80,80
100,The Umbrella Academy,5449324,353764,1550614093,100,100
100,Always a Witch,5449324,354019,1552512414,100,100
70,AJ and the Queen,5449324,354305,1661030752,70,70
100,The A List,5449324,354323,1625431702,100,100
