created_at,updated_at,tv_show_name,user_id,tv_show_id
2020-08-24 21:19:13,2020-08-24 21:19:13,Saint Seiya: Knights of the Zodiac,5449324,351487
2020-04-20 00:03:43,2020-04-20 00:03:43,The Curious Creations of Christine McConnell,5449324,351770
2019-05-08 13:28:59,2019-05-08 13:28:59,Dancing Queen,5449324,351896
2020-04-20 00:03:51,2020-04-20 00:03:51,The Final Table,5449324,351971
2020-08-24 21:19:21,2020-08-24 21:19:21,Kengan Ashura,5449324,354179
2020-08-24 21:10:13,2020-08-24 21:10:13,AJ and the Queen,5449324,354305
2024-01-03 18:30:19,2024-01-03 18:30:19,Corrida das Blogueiras,5449324,354639
2020-08-24 21:21:34,2020-08-24 21:21:34,Hero Mask,5449324,355025
2020-06-25 21:45:01,2020-06-25 21:45:01,RuPaul's Drag Race: Holi-slay Spectacular,5449324,355187
2019-07-09 21:18:15,2019-07-09 21:18:15,Fire Force,5449324,355480
2019-07-28 16:46:59,2019-07-28 16:46:59,Vai Anitta,5449324,355486
2022-01-24 21:29:48,2022-01-24 21:29:48,The Boys,5449324,355567
2019-07-09 21:17:52,2019-07-09 21:17:52,Dr. STONE,5449324,355774
2022-06-01 19:53:14,2022-06-01 19:53:14,Carmen Sandiego,5449324,356574
2021-02-02 12:09:45,2021-02-02 12:09:45,Weird City,5449324,356940
2019-02-26 00:25:34,2019-02-26 00:25:34,Tidying Up with Marie Kondo,5449324,357071
2025-12-06 13:15:38,2025-12-06 13:15:38,Isekai Quartet,5449324,357471
2019-07-09 21:18:34,2019-07-09 21:18:34,Fruits Basket (2019),5449324,357488
2025-12-06 13:13:30,2025-12-06 13:13:30,2 Moons 2,5449324,357590
2024-01-21 16:20:20,2024-01-21 16:20:20,The Twelve Strokes of Noon,5449324,359149
2019-07-09 21:17:58,2019-07-09 21:17:58,Vinland Saga,5449324,359274
2020-12-03 21:26:13,2020-12-03 21:26:13,High School Musical: The Musical: The Series,5449324,359728
2020-08-24 21:14:52,2020-08-24 21:14:52,Tuca & Bertie,5449324,361005
2022-12-25 20:46:47,2022-12-25 20:46:47,You vs. Wild,5449324,361214
2025-12-06 13:15:02,2025-12-06 13:15:02,Are You Lost?,5449324,362052
2021-04-10 22:13:31,2021-04-10 22:13:31,WandaVision,5449324,362392
2025-12-06 13:16:05,2025-12-06 13:16:05,Primal,5449324,364007
2022-06-01 19:53:17,2022-06-01 19:53:17,Inside Job,5449324,365098
2020-08-24 21:18:44,2020-08-24 21:18:44,Kipo and the Age of Wonderbeasts,5449324,365463
2025-12-06 13:14:38,2025-12-06 13:14:38,What If…?,5449324,367147
2020-08-24 21:09:56,2020-08-24 21:09:56,The Circle (US),5449324,368012
2022-01-24 21:30:08,2022-01-24 21:30:08,Fate: The Winx Saga,5449324,368185
2025-12-06 13:16:07,2025-12-06 13:16:07,Masters of the Universe: Revelation,5449324,368321
2025-12-06 13:14:22,2025-12-06 13:14:22,"Science Fell in Love, So I Tried to Prove It",5449324,368358
2022-12-25 20:46:39,2022-12-25 20:46:39,The I-Land,5449324,368387
2025-12-06 13:16:36,2025-12-06 13:16:36,Kemono Michi: Rise Up,5449324,368905
2020-08-24 21:11:32,2020-08-24 21:11:32,Rhythm + Flow,5449324,369025
